place_id,name,rating,user_ratings_total,latitude,longitude,address,types
ChIJswxIsBkvdTERPf6xH3qH0Do,Highlands Coffee Lê Duẩn,3.9,862,10.7836835,106.7012071,"2B Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quán cà phê
ChIJcXjqz0cvdTERkb6vblGr3XM,Highlands Coffee Vincom Đồng Khởi,4.0,654,10.778169,106.701916,"72 Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quán cà phê
ChIJCT55tAondTERz4vTGscWtBo,Pizza 4P's Xuân Thủy,5.0,16586,10.8026229,106.7308124,"48/01 Xuân Thủy, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh 700000, Việt Nam",Nhà hàng pizza
ChIJ_Uig1gwvdTERP3KaLlGNHUY,Pizza 4P's Lê Đại Hành,4.9,6654,10.764909,106.6556152,"The Emporium Building, Phu Tho Ward, 184 Đ. Lê Đại Hành, Phường 15, Quận 11, Thành phố Hồ Chí Minh 70000, Việt Nam",Nhà hàng pizza
ChIJyzkiI1AvdTER763wasUcMW0,Pizza 4P’s Võ Văn Kiệt,4.9,9737,10.7551082,106.6876645,"608 Võ Văn Kiệt, Cầu Kho, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",Nhà hàng pizza
ChIJ-U0708spdTERAGT7uAW90zk,Pizza 4P's Saigon Pearl,5.0,13660,10.7895881,106.7207971,"Ruby Home 1, 92 Nguyễn Hữu Cảnh, Saigon Pearl, Bình Thạnh, Thành phố Hồ Chí Minh 70000, Việt Nam",Nhà hàng pizza
ChIJ5_KFG48vdTERXQaGkFmJG18,Pizza 4P's Phú Mỹ Hưng,4.9,9899,10.7308117,106.7245202,"Toà nhà Cobi Tower II, 2-4 Đường Số 8, Tân Phú, Quận 7, Thành phố Hồ Chí Minh 70000, Việt Nam",Nhà hàng pizza
ChIJw-_FOzQvdTERqaFY67fP2Zs,Pizza 4P's Saigon Centre,4.9,16573,10.773164,106.7006118,"Saigon Centre, 65 Lê Lợi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Nhà hàng pizza
ChIJHUDLN0kvdTEROYEfxmcCW5g,Pizza 4P’s Lê Thánh Tôn,4.8,18361,10.7818738,106.7051397,"Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",Nhà hàng pizza
ChIJC-nWiTYvdTERGMJvRSoZ2f4,Pizza 4P's Hai Bà Trưng,4.9,19205,10.7830429,106.6969727,"151b Hai Bà Trưng, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam",Nhà hàng pizza
ChIJ7a0pnsYvdTER1H6W6rgABq4,Pizza 4P's Delivery Lý Chính Thắng,4.4,26,10.7867273,106.6851955,"127 Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam",Cửa hàng giao pizza
ChIJfYtYmHkvdTERhCNHqNTzQ48,Pizza 4P's Bến Thành,4.9,24682,10.773361,106.6976173,"8 Thủ Khoa Huân, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",Nhà hàng pizza
ChIJa2r_lDUvdTER4kTuZZ1T94w,Highlands Coffee Mạc Đĩnh Chi,4.1,2023,10.7853273,106.6989273,"39 Mạc Đĩnh Chi, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quán cà phê
ChIJPaV2gDgvdTERkDRRqtvgkHo,Highlands Coffee,4.3,721,10.7753902,106.6994323,"114 Nam Kỳ Khởi Nghĩa, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quán cà phê
ChIJZRiU5T0vdTER8jp8pjK3BLc,Highlands Coffee – Liberty Saigon Greenview,4.2,2539,10.7686019,106.6934527,"187 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quán cà phê
ChIJG0E8glcvdTERLa-Q5lKWLjI,Highlands Coffee – Lý Tự Trọng,4.1,549,10.774658,106.6981892,"71 Lý Tự Trọng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",Quán cà phê
ChIJ-6yroAIvdTERKyKxl--Na9k,Highlands Coffee Friendship Tower D1,4.1,65,10.7823414,106.7009362,"31 Lê Duẩn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",Quán cà phê
ChIJwQilIikvdTERUva2LGLzpF8,Highlands Coffee Nguyễn Thái Học,4.2,820,10.7687641,106.6951897,"132A Nguyễn Thái Học, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quán cà phê
ChIJkQWtPgAvdTERgQJja5175f0,Highlands Coffee Tôn Thất Thiệp - Quận 1,4.2,120,10.7734438,106.7025575,"15-17-19 Đ. Tôn Thất Thiệp, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",Quán cà phê
ChIJJV5kDSUvdTERvsRa3dwW14c,Highlands Coffee – Nguyễn Trãi,4.2,1119,10.7674096,106.6883038,"210 Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quán cà phê
ChIJ6-qHzzovdTERKuM7X5ehack,Bitexco Financial Tower,4.5,19141,10.7717064,106.7043759,"2 Đ. Hải Triều, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam",Trung tâm thương mại
ChIJTeYpMT8vdTERMH8sUnkta40,Chợ Bến Thành,4.0,75816,10.7725168,106.6980208,"Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Chợ
ChIJ_yzv1bQodTER7hN4NV_cGXE,GEM Center,4.5,6747,10.7901279,106.702372,"8 Nguyễn Bỉnh Khiêm, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 70000, Việt Nam",Trung tâm hội nghị
